id,name,brewery_type,address_1,city,state_province,postal_code,country,longitude,latitude,phone,website_url,state,street
id_0,Brewery_0,micro,Address_0,,StateA,ABCDE,US,-107.447228,-41.552075,555-1234,http://example0.com,California,Street_0
id_1,Brewery_1,,Address_1,,,,US,143.146488,69.211129,999999999999,,INVALID,Street_1
id_2,Brewery_2,nano,Address_2,CityA,StateB,,US,,not_a_number,555-1234,http://example2.com,CA,Street_2
id_3,Brewery_3,micro,Address_3,CityA,INVALID,ABCDE,US,-140.557198,,999999999999,,CA,Street_3
id_4,Brewery_4,regional,Address_4,CityA,StateA,,US,,,INVALID,,,Street_4
id_5,Brewery_5,nano,Address_5,CityB,,,US,ERROR,not_a_number,,http://example5.com,INVALID,Street_5
id_6,Brewery_6,micro,Address_6,CityB,StateA,12345,US,ERROR,,555-1234,http://example6.com,,Street_6
id_7,Brewery_7,regional,Address_7,CityA,StateB,12345,US,138.443569,not_a_number,INVALID,http://example7.com,INVALID,Street_7
id_8,Brewery_8,regional,Address_8,,,12345,US,ERROR,,555-1234,,California,Street_8
id_9,Brewery_9,regional,Address_9,CityA,StateB,ABCDE,US,,33.593603,INVALID,http://example9.com,California,Street_9
id_8,Brewery_8,regional,Address_8,,,12345,US,ERROR,,555-1234,,California,Street_8
id_1,Brewery_1,,Address_1,,,,US,143.146488,69.211129,999999999999,,INVALID,Street_1
